roles,companies,locations,experience,skills,Dates,PresentDate,salary
Finance Business Partner - Supply,DECATHLON Sports,Bengaluru,1-3 Yrs,Finance ManagerFinancial reportingFinancial analysisBusiness analysisProject managementCost managementCustomer serviceTaxation,6 Days Ago,24-11-2024,Not disclosed
Software Engineer III,Walmart,Bengaluru,2-9 Yrs,Computer scienceHibernateCodingGCPSEZTroubleshootingBusiness solutionsInformation technology,5 Days Ago,24-11-2024,Not disclosed
Performance Marketing Manager,DECATHLON Sports,Bengaluru,1-5 Yrs,Data analysisWeb technologiesMatrixOnline salesE-commerceDigital marketingMarketing communicationMedia planning,6 Days Ago,24-11-2024,Not disclosed
Industrialization and Development Production Leader - Footwear,DECATHLON Sports,Bengaluru,2-5 Yrs,RetailRTDProject managementpower biSupplier managementProduction ManagerManager Quality ControlRisk management,6 Days Ago,24-11-2024,Not disclosed
Territory Manager-LMEU-Karnataka,McCain,Bengaluru,6-15 Yrs,Relationship managementClaimsSalesCustomer satisfactionReconciliationBusiness planningCustomer retentionStrategic sales planning,5 Days Ago,24-11-2024,Not disclosed
Data Scientist,DECATHLON Sports,Bengaluru,2-5 Yrs,Cloud computingData analysisAnalyticalMachine learningApacheForecastingProduct marketingSQL,6 Days Ago,24-11-2024,Not disclosed
Public Relations Manager,DECATHLON Sports,Bengaluru,2-5 Yrs,Digital mediaPublic relationsEvent managementProject managementMedia relationsBrand awarenessDigital marketingCatering,6 Days Ago,24-11-2024,Not disclosed
Manager - Test Lab,TE Connectivity India,Bengaluru,3-7 Yrs,SAPAerospaceAnalyticalFormulationQuality systemsthermalInstrumentationSensors,5 Days Ago,24-11-2024,Not disclosed
Quality Production Leader - Footwear,DECATHLON Sports,Bengaluru,2-6 Yrs,toxicologyOperational excellenceComplianceManager TechnologyM&ADeploymentProduction ManagerManagement,6 Days Ago,24-11-2024,Not disclosed
Online Category Manager,DECATHLON Sports,Bengaluru,2-10 Yrs,Supply chainCareer developmentOnline marketingOnline salesCustomer retentionMarket researchCustomer serviceMerchandising,5 Days Ago,24-11-2024,Not disclosed
Hardware Test Engineer II,TE Connectivity India,Bengaluru,2 Yrs,Process designProduct engineeringElectrical designPrototypeDesign validationFunctional testingReliability testingProduct design,5 Days Ago,24-11-2024,Not disclosed
PRODUCT DVL TEST ENGINEER II,TE Connectivity India,Bengaluru,3 Yrs,FabricationPrototypeRenewable energyAerospacePackagingWellnessSchedulingContinuous improvement,5 Days Ago,24-11-2024,Not disclosed
Senior Test Lab Instrumentation Engineer,TE Connectivity India,Bengaluru,3-6 Yrs,FabricationPrototypeRenewable energyAerospacePackagingInstrumentationLabviewScheduling,5 Days Ago,24-11-2024,Not disclosed
STRATEGIC SOURCING ANALYST II,TE Connectivity India,Bengaluru,3-8 Yrs,MechatronicsCostingSAPBiddingRenewable energyMS OfficeRFQTechno-commercial,5 Days Ago,24-11-2024,Not disclosed
AS400 Techno-Functional Consultant,DECATHLON Sports,Bengaluru,3-5 Yrs,AutomationSupply chain managementConsultingIntegration testingAgileAS400JSONWindows,5 Days Ago,24-11-2024,Not disclosed
Quality & Compliance Documentation Lead,TE Connectivity India,Bengaluru,4-6 Yrs,Product qualityRenewable energyAerospaceFailure analysisWellnessISO 17025Manager Quality ControlContinuous improvement,5 Days Ago,24-11-2024,Not disclosed
Senior Manager - Business Development,Flex,Bengaluru,7-10 Yrs,Supply chainMedical devicesQuality systemsConcept developmentFlexAccount managementBusiness modelingMedical insurance,5 Days Ago,24-11-2024,Not disclosed
Security Engineer,DECATHLON Sports,Bengaluru,7-10 Yrs,remediationVPNGCPAccess managementCloudJavascriptPerlRisk management,6 Days Ago,24-11-2024,Not disclosed
Intern,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,community developmentproject managementcsrteam managementtraining managementngossproblem solvingtraining,30+ Days Ago,24-11-2024,Not disclosed
Apprentice,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",0-1 Yrs,TrainingNetworkingCustomer serviceService qualityQuality,30+ Days Ago,24-11-2024,Not disclosed
Store Manager,Starbucks,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",5-7 Yrs,Stock controlSalesHotel managementReconciliationSchedulingCustomer serviceForecastingOperations,12 Days Ago,24-11-2024,Not disclosed
