roles,companies,locations,experience,skills,Dates,PresentDate,salary
Digital Modeler,Three D Magic Info Solutions,Pune,0-2 Yrs,Digital Modeler2DMdelingScan DataClass A SurfacingAutoCADAlias3D model,3 Days Ago,24-11-2024,3-5 Lacs PA
Electronic Systems Product Engineer,Cummins,Hybrid - Pune,0-2 Yrs,Product EngineeringTechnical DocumentationCANalyzerPCAN explorerProduct VerificationSimulinkelectronics engineeringMatlab,4 Days Ago,24-11-2024,Not disclosed
We are hiring For Lead Engineer Data Center- ELV I&C,Jacobs,"Hyderabad, Gurugram, Mumbai (All Areas)",10-18 Yrs,Data Center DesignELVInstrumentation DesignCCTVCenterCInstrumentationHiring,3 Days Ago,24-11-2024,Not disclosed
Area Sales Manager,Kich Architectural Products,"Hybrid - Bengaluru, Delhi / NCR, Mumbai (All Areas)",4-9 Yrs,Retail SalesChannel SalesBuilding Material SalesDealer SalesGovernment ProjectsProject SalesRetail and project salesSpecifications,3 Days Ago,24-11-2024,Not disclosed
Order Processing/ Order Management/Order Fulfilment/ Sales coordinator,Randstad India,"Mumbai(Airoli), Navi Mumbai, Mumbai (All Areas)",3-8 Yrs,SAPOrder ManagementOrder ProcessingOrder FulfillmentOrder to CashO2CCustomer ServiceSales Coordination,4 Days Ago,24-11-2024,Not disclosed
Design Engineer -Design Head,Compass Business Management,"Thane, Navi Mumbai",4-9 Yrs,Automation SystemsConveyorsDesign EngineeringPresentation SkillsDesign AnalysisWritten And Oral CommunicationAutomation SkillsAutoCAD,1 Day Ago,24-11-2024,Not disclosed
Sales Engineer,Compass Business Management,"Thane, Navi Mumbai",1-2 Yrs,SalesSales EngineeringIndustrial SalesLiftsOrder ExecutionElevatorsMaterial Handling EquipmentsAutomation Sales,1 Day Ago,24-11-2024,Not disclosed
Plc Engineer,Compass Business Management,"Thane, Navi Mumbai",2-3 Yrs,PLCAllen Bradley PlcActuatorsFeedersIndustrial AutomationCablingAutoCADSiemens PLC,1 Day Ago,24-11-2024,Not disclosed
"Opening For Executive - Accounts, Kalina Location with Packaging Ind.",Emmbi Industries,Mumbai(Kalina),3-8 Yrs,Bank GuaranteeLetter Of CreditBill PaymentLC OpeningFinanceLCTrade FinanceBank Guarantee issuance,2 Days Ago,24-11-2024,1-5 Lacs PA
Territory Sales Manager - Construction Chemicals (Navi Mumbai),JSW Cement,Navi Mumbai,6-10 Yrs,Channel SalesConstruction ChemicalsChannel DevelopmentChannel Sales ManagementTerritory sales managementSalesManagementTerritory sales,5 Days Ago,24-11-2024,Not disclosed
Sfdc Consultant,JSW Cement,Mumbai,6-10 Yrs,Sfdc DevelopmentSFDCSfdc TestingSales Force DevelopmentConsultingSalesDevelopmentSalesforce,5 Days Ago,24-11-2024,Not disclosed
Sales Executive,Hare Krishna Motors Mahindra,"Thane, Navi Mumbai",5-10 Yrs,Sales ExecutiveSalesSales executive activities,4 Days Ago,24-11-2024,Not disclosed
GERMAN HIRING - CAR REPAIR MECHATRONICS,2coms,Mumbai,2-7 Yrs,vendor managementrepairevent managementadministrationasset managementrepair and maintenancelightinghousekeeping,4 Days Ago,24-11-2024,Not disclosed
Service Technician,Hare Krishna Motors Mahindra,"Thane, Navi Mumbai",5-10 Yrs,repairplcpreventive maintenanceequipmentelectrical engineeringbreakdown analysismotorselectrical works,4 Days Ago,24-11-2024,Not disclosed
Senior Manager - Sales - Industry End Users,Schneider Electric,Mumbai,8-10 Yrs,MatrixAction planDeploymentTraining and DevelopmentBudgetingEnterprise softwareSoftware solutionsSales management,5 Days Ago,24-11-2024,Not disclosed
Lead - BI Platform,UPL Limited,Navi Mumbai,6-10 Yrs,sap biorchestrationanalyticaleccdiinterpersonal skillssohsap s hana,4 Days Ago,24-11-2024,Not disclosed
Assistant Manager - Data Analyst || Mumbai (Worli),CEAT,Mumbai(Worli),2-5 Yrs,dataPower BiTableauData AnalyticsPredictive AnalyticsvisualizationSAPoracle,4 Days Ago,24-11-2024,Not disclosed
Manager/Deputy Manager- Hardware R&D,Schneider Electric,Mumbai,3-10 Yrs,EMIAutomationSimulationSwitchgearAnalogCircuit designingHardware designPower electronics,6 Days Ago,24-11-2024,Not disclosed
Manager - Commissioning,Schneider Electric,Mumbai,7-12 Yrs,AutomationTeam leadingSwitchgearCustomer satisfactionInstrumentationProject deliveryOperationsTechnical support,6 Days Ago,24-11-2024,Not disclosed
Manager/Sr Manager Machine Prescription and BD,Schneider Electric,Mumbai,11-15 Yrs,Relationship managementMechatronicsNetworkingPharmaShop floorGap analysisBusiness strategyAutomotive,6 Days Ago,24-11-2024,Not disclosed
Product Manager,Schneider Electric,Mumbai,7-15 Yrs,Product managementDesign engineeringAutomationSwitchgearProduct portfolioTelecommunicationQuality PlanningCustomer support,6 Days Ago,24-11-2024,Not disclosed
Manager - Plastics Technology,Schneider Electric,Mumbai,12-14 Yrs,Polymer chemistryAutomationSwitchgearReverse engineeringValue engineeringFailure analysisCost reductionManager Technology,6 Days Ago,24-11-2024,Not disclosed
Manager - Engineering,Schneider Electric,Mumbai,6-16 Yrs,GraphicsProject controlProcess controlControl systemControl system designSATTest scenariosInstrumentation,6 Days Ago,24-11-2024,Not disclosed
Senior Manager - Engineering,Schneider Electric,Mumbai,9-20 Yrs,GraphicsProject controlProcess controlControl systemControl system designSATTest scenariosInstrumentation,6 Days Ago,24-11-2024,Not disclosed
Sr Manager/Manager- Sustainability,Schneider Electric,Mumbai,3-8 Yrs,Waste managementData analysisEnergy conservationManagementMS OfficeStakeholder managementSustainable developmentReporting tools,6 Days Ago,24-11-2024,Not disclosed
Manager - Product Management and Marketing,Schneider Electric,Mumbai,8-10 Yrs,Product managementAutomationSwitchgearTelecommunicationCustomer supportData analyticsManagementCatering,6 Days Ago,24-11-2024,Not disclosed
Manager - Engineering,Schneider Electric,Mumbai,5-10 Yrs,Relationship managementStakeholder EngagementAutomationInterpersonal skillsSwitchgearComplianceProject managementEPC,6 Days Ago,24-11-2024,Not disclosed
