roles,companies,locations,experience,skills,Dates,PresentDate,salary
Industry X - Technical Publication - WDM - 12,Accenture,Bengaluru,0-2 Yrs,repairairworthinessimpact analysisengineering designaircraft maintenancemaintenance planningavionicsline maintenance,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - Technical Author - 12,Accenture,Bengaluru,0-2 Yrs,robohelpframemakercatiatechnical publicationxmltechnical writingsgmlarbortext epic editor,Today,23-11-2024,Not disclosed
ATCi - IX - Manufacturing Engineering - 12,Accenture,Bengaluru,0-2 Yrs,management skillsautocaddesign engineeringcatiasolid worksmechanical engineeringwarehouse operationslogistics operations,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - AMM - 12,Accenture,Bengaluru,0-2 Yrs,airworthinessatagidocas1000daircraft maintenanceNegotiationtechnical writingcmm,Today,23-11-2024,Not disclosed
Industry X - Technical Publication - CMM - 12,Accenture,Bengaluru,0-2 Yrs,aircraftairworthinesssystemaerospacecommunication skillstechnical writingsaparbortext epic editor,Today,23-11-2024,Not disclosed
"Platform Software Developer - Optics, PCIe, SPI, I2C, Retimers, FPGA",Juniper Networks,Bengaluru,0-7 Yrs,NetworkingFPGAAnalyticalEthernetDebuggingData structuresPCIECPLD,1 Day Ago,23-11-2024,Not disclosed
Business Analyst - Healthcare,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",1-5 Yrs,Data analysisBusiness AnalystProject managementAnalyticalHealthcareIT marketingCustomer experienceCustomer service,28 Days Ago,23-11-2024,Not disclosed
ERP HCM Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-4 Yrs,hrmserpworkdaysapbusiness analysishrsdcore hroracle fusion,1 Day Ago,23-11-2024,Not disclosed
ERP HCM Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,hrmserpworkdaysapbusiness analysishrsdcore hroracle fusion,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-8 Yrs,ERPCodingJavascriptAgileHTMLJSONCustomer serviceSSIS,1 Day Ago,23-11-2024,Not disclosed
DC Engineer Consultant,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-5 Yrs,operational supportVPNEvent managementInformation securityNetwork securitySIEMsplunkVulnerability,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,ERPTranslationCSSFTPCloudOracleJIRARelease management,1 Day Ago,23-11-2024,Not disclosed
Project Manager - Enterprise Solutions,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8-13 Yrs,accounts receivableproject managementaccounts payableoraclesaporacle apps technicalaccountingoracle e-business suite,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,jsptechno functionalmanual testingajaxjquerysqlsoftware development life cyclerequirement gathering,1 Day Ago,23-11-2024,Not disclosed
ERP HCM Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,Oracle BI appsPerformance tuningERPHCMDatabasePackagingOracle FusionTroubleshooting,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-10 Yrs,UnixComputer scienceBusiness processERPTest scriptsTechno functionalXMLPLSQL,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-8 Yrs,Business processProcess automationFixed assetsProject managementConsultingCash flowBudgetingMicrosoft Dynamics,1 Day Ago,23-11-2024,Not disclosed
Database Track Sr.Engineer,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-7 Yrs,Performance tuningMCTSMS SQLChange managementDisaster recoverydata integrityManagementTroubleshooting,1 Day Ago,23-11-2024,Not disclosed
ERP HCM Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,Computer scienceERPSAPCodingDebuggingScrumAgile methodologysoftware quality,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,ERPBackendOracle AppsData modelingPLSQLOracle BIOracle WorkflowApplication software,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Technical Architect,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",3-4 Yrs,Business processChange managementEnterprise applicationsdata securityFixed assetsMicrosoft DynamicsUnit testingBudgeting,1 Day Ago,23-11-2024,Not disclosed
ERP Fin Lead,Hexaware Technologies,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",8 Yrs,OutboundERPOracle AppsProduction supportdevelopment testingXMLWorkflowPLSQL,1 Day Ago,23-11-2024,Not disclosed
