roles,companies,locations,experience,skills,salary,industry,experience_cleaned,min_experience,max_experience,min_salary,max_salary,is_salary_disclosed,avg_salary,days_ago,posting_date,job_age_days,seniority_level,is_remote,is_high_salary
"cost accountant, cma",Om Hr Solutions,Jaipur,3-8 Yrs,SAP COCostingCost AccountingProduct CostingICWAInventory ValuationCMACost Management,7.5-13 Lacs PA,Consumer Retail & Hospitality,3-8,3,8,7.5,13.0,True,10.25,2.0,2024-11-22,8.0,Mid,False,True
performance marketing lead   (100 days),Bombay Shaving Company,Gurugram(Udyog Vihar),6-11 Yrs,Performance MarketingGoogle AdsFacebook AdsDigital MarketingFacebook MarketingGoogleFacebookDigital,Not disclosed,Consumer Retail & Hospitality,6-11,6,11,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Mid,False,False
business excellence engineer,Premier Fine Linens,Pollachi,3-7 Yrs,TPMSix SigmaLeanContinuous ImprovementTraining And DevelopmentBusiness excellenceTrainingSix,Not disclosed,Consumer Retail & Hospitality,3-7,3,7,0.0,0.0,False,0.0,6.0,2024-11-18,12.0,Mid,False,False
business excellence engineer,Premier Fine Linens,Perundurai,3-7 Yrs,TPMSix SigmaLeanContinuous ImprovementTraining And DevelopmentBusiness excellenceTrainingSix,Not disclosed,Consumer Retail & Hospitality,3-7,3,7,0.0,0.0,False,0.0,6.0,2024-11-18,12.0,Mid,False,False
captain/steward,Bercos Melody House,Noida,0-5 Yrs,CaptainStewardRestaurantGSAHotel ManagementBhmwaiterGRE,1.5-3 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,1.5,3.0,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
captain/steward,Bercos Melody House,Ghaziabad,0-5 Yrs,CaptainStewardRestaurantGSAHotel ManagementBhmwaiterGRE,1.5-3 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,1.5,3.0,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
captain/steward,Bercos Melody House,Faridabad,0-5 Yrs,CaptainStewardRestaurantGSAHotel ManagementBhmwaiterGRE,1.5-3 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,1.5,3.0,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
captain/steward,Bercos Melody House,Gurugram,0-5 Yrs,CaptainStewardRestaurantGSAHotel ManagementBhmwaiterGRE,1.5-3 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,1.5,3.0,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
captain/steward,Bercos Melody House,Delhi / NCR,0-5 Yrs,CaptainStewardRestaurantGSAHotel ManagementBhmwaiterGRE,1.5-3 Lacs PA,Consumer Retail & Hospitality,0-5,0,5,1.5,3.0,True,2.25,3.0,2024-11-21,9.0,Entry,False,False
stewards/captains/bartenders/hostess/bar captains/commis,Epiphany Hospitality,New Delhi,1-6 Yrs,BartendingWaiter ActivitiesHostess ActivitiesCaptainingGRECommisBar,Not disclosed,Consumer Retail & Hospitality,1-6,1,6,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Entry,False,False
stewards/captains/bartenders/hostess/bar captains/commis,Epiphany Hospitality,Faridabad,1-6 Yrs,BartendingWaiter ActivitiesHostess ActivitiesCaptainingGRECommisBar,Not disclosed,Consumer Retail & Hospitality,1-6,1,6,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Entry,False,False
stewards/captains/bartenders/hostess/bar captains/commis,Epiphany Hospitality,Gurugram,1-6 Yrs,BartendingWaiter ActivitiesHostess ActivitiesCaptainingGRECommisBar,Not disclosed,Consumer Retail & Hospitality,1-6,1,6,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Entry,False,False
business analyst,Vaibhav Global,Jaipur,3-8 Yrs,Process optimizationRenewable energyBusiness AnalystSocial mediaOnline salesWeb developmentAgileSEZ,Not disclosed,Consumer Retail & Hospitality,3-8,3,8,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
dietician / nutritionist / health coach (chandigarh),Talent Corner Hr Services,Chandigarh,0-1 Yrs,Effective CommunicationPassion for Health and WellnessClient Assessment and Goal SettingPersonalized Health PlanningContinuous LearningEmpathy and CompassionCompassionSetting,1.75-2 Lacs PA,Consumer Retail & Hospitality,0-1,0,1,1.75,2.0,True,1.875,3.0,2024-11-21,9.0,Entry,False,False
opening for assistant area sales manager   ludhiana,Madhu Jayanti International,Ludhiana,3-8 Yrs,Institutional SalesArea SalesFMCG SalesGeneral TradeHoreca SalesTradeSalesManagement,Not disclosed,Consumer Retail & Hospitality,3-8,3,8,0.0,0.0,False,0.0,3.0,2024-11-21,9.0,Mid,False,False
sales head / sales manager   vedic village,Sabari Group,Kochi,8-13 Yrs,Experiance in Hotel Sales is MandatoryRoom SalesHospitality SalesTravel SalesGuest RelationsBanquet SalesSalesRoom,Not disclosed,Consumer Retail & Hospitality,8-13,8,13,0.0,0.0,False,0.0,5.0,2024-11-19,11.0,Senior,False,False
ui/ux designer,Vaibhav Global,Jaipur,2-7 Yrs,adobe creative suiteTime managementSocial mediaHTMLVisioCustomer serviceMerchandisingUser experience design,Not disclosed,Consumer Retail & Hospitality,2-7,2,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
manager â travel,Skyway International Travels,Bengaluru,1-7 Yrs,corporate travel managementvendor managementadministrationcustomer servicetravel agencytourismitinerarytours,Not disclosed,Consumer Retail & Hospitality,1-7,1,7,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Entry,False,False
executive â tours,Skyway International Travels,Bengaluru,3-5 Yrs,travel agencyinternational ticketingcostingtourismitineraryair ticketingtoursholiday packages,Not disclosed,Consumer Retail & Hospitality,3-5,3,5,0.0,0.0,False,0.0,30.0,2024-10-25,36.0,Mid,False,False
